userId,movieId,rating,timestamp
1,1662,1,03-09-2015
1,2522,2,10-10-2016
1,1320,2,28-08-2016
1,55588,1,31-07-2016
1,33890,1,25-06-2017
1,1340,1,28-02-2016
1,87816,1,12-10-2016
1,73800,3,23-04-2017
1,73616,3,14-08-2016
1,2521,1,10-10-2016
1,1312,1,28-08-2016
1,55409,1,19-03-2017
1,73244,3,14-08-2016
1,39700,2,31-07-2016
1,36935,1,24-04-2016
1,88217,2,13-04-2016
1,58990,5,23-04-2017
1,36469,3,25-06-2017
1,36412,1,06-03-2016
1,39479,1,19-06-2016
1,1434,1,30-11-2015
1,39689,1,13-04-2016
1,9204,5,25-06-2017
1,7448,5,02-04-2017
1,9259,3,02-04-2017
1,36623,1,30-11-2015
1,60572,1,23-04-2017
1,39681,1,13-04-2016
1,33891,1,13-04-2016
1,36939,1,23-04-2017
1,55604,1,30-11-2015
1,32900,1,28-08-2016
1,7449,5,23-04-2017
1,36544,1,13-04-2017
1,7446,9,10-10-2016
1,59648,4,29-10-2016
1,60776,4,28-08-2016
1,58999,3,19-03-2017
1,58811,1,28-02-2016
1,36753,1,25-06-2017
1,11686,5,02-04-2017
1,58996,1,23-04-2017
1,7447,9,23-04-2017
1,49853,1,23-04-2017
1,64725,1,29-10-2016
1,17626,10,02-04-2017
1,13039,1,31-07-2016
1,43254,1,02-04-2017
1,60577,2,02-04-2017
1,73802,2,02-04-2017
1,43220,3,28-08-2016
1,58836,2,21-02-2016
1,6914,7,19-03-2017
1,74411,1,24-04-2016
1,43213,1,19-03-2017
1,43562,9,23-04-2017
1,33360,1,30-11-2015
1,85129,1,29-10-2016
1,9176,1,25-10-2015
1,36624,2,13-04-2016
1,72880,1,25-06-2017
1,33913,1,28-02-2016
1,2616,5,23-04-2017
1,58993,1,23-04-2017
1,60573,1,02-04-2017
1,58973,1,19-06-2016
1,60610,1,28-02-2016
1,88278,13,25-06-2017
1,89666,1,12-10-2016
1,55104,4,23-04-2017
1,33888,1,25-06-2017
1,33329,1,21-02-2016
1,87264,1,04-09-2016
1,33924,2,12-10-2016
1,6913,4,07-01-2017
1,90807,1,19-06-2016
1,55606,1,30-11-2015
1,87267,1,31-07-2016
1,88252,1,28-02-2016
1,50512,1,19-02-2017
1,47121,1,30-11-2015
1,33679,2,19-02-2017
1,32464,1,30-11-2015
1,17961,1,28-02-2016
1,33889,1,25-06-2017
1,9128,5,25-06-2017
1,18571,2,12-10-2016
1,14458,1,19-06-2016
1,11700,6,13-04-2017
1,11766,5,25-06-2017
1,2724,1,25-10-2015
1,32385,5,13-04-2017
1,85125,1,29-10-2016
1,85130,1,29-10-2016
1,17914,1,21-02-2016
1,73617,2,04-03-2017
1,43211,1,28-02-2016
1,79992,4,31-07-2016
1,33328,5,10-10-2016
1,36814,2,21-02-2016
1,36913,1,28-08-2016
1,33333,3,10-10-2016
1,33373,4,29-10-2016
1,59452,7,19-03-2017
1,2523,1,10-10-2016
1,18724,1,28-08-2016
1,33814,1,19-06-2016
1,55158,1,19-02-2017
1,84239,1,30-11-2015
1,3123,9,25-06-2017
1,33627,1,25-06-2017
1,7445,3,19-03-2017
1,17617,4,23-04-2017
1,32655,1,28-02-2016
1,34018,1,13-04-2016
1,33368,11,20-11-2016
1,87297,1,19-02-2017
1,36145,2,09-04-2016
1,35309,6,19-03-2017
1,2971,1,13-04-2016
1,35180,1,06-03-2016
1,11042,2,02-04-2017
1,33464,1,25-06-2017
1,11087,1,28-02-2016
1,35084,1,30-11-2015
1,7661,6,02-04-2017
1,2808,1,12-10-2016
1,14376,1,04-09-2016
1,14281,13,25-06-2017
1,13441,1,24-04-2016
1,36147,1,19-02-2017
1,79319,1,02-04-2017
1,87814,2,19-02-2017
1,50619,1,02-04-2017
1,74985,5,04-03-2017
1,79209,3,23-04-2017
1,87739,4,13-04-2017
1,7663,12,25-06-2017
1,84240,1,30-11-2015
1,64091,1,25-06-2017
1,14341,1,28-08-2016
1,75326,1,29-10-2016
1,13214,1,02-04-2017
1,7209,1,23-04-2017
1,80311,1,19-06-2016
1,79838,1,23-04-2017
1,79323,3,25-06-2017
1,7444,1,02-04-2017
1,7443,1,19-02-2017
1,87526,1,21-02-2016
1,7683,6,25-06-2017
1,7662,3,02-04-2017
1,9439,1,28-02-2016
1,9319,8,25-06-2017
1,34988,1,28-02-2016
1,35006,1,28-02-2016
1,60754,1,24-04-2016
1,35212,1,28-02-2016
1,36161,1,19-02-2017
1,73787,1,23-04-2017
1,74694,5,23-04-2017
1,74414,2,24-04-2016
1,87746,1,02-04-2017
1,87672,3,19-03-2017
1,79180,1,31-07-2016
1,87500,1,30-11-2015
1,64124,1,23-04-2017
1,76027,1,28-08-2016
1,79366,1,29-10-2016
1,11975,1,21-02-2016
1,11066,1,13-04-2016
1,75156,1,25-06-2017
1,79321,1,02-04-2017
1,9507,3,23-04-2017
1,64885,1,02-04-2017
1,87399,1,28-02-2016
1,11067,1,04-09-2016
1,64030,1,28-02-2016
1,64088,13,23-04-2017
1,9447,1,31-07-2016
1,60763,1,24-04-2016
1,63975,1,30-11-2015
1,14291,1,19-02-2017
1,36377,1,04-03-2017
1,87428,1,29-10-2016
1,73691,10,23-04-2017
1,11310,1,30-11-2015
1,11065,1,13-04-2016
1,60839,2,02-04-2017
1,87673,1,13-04-2016
1,87536,1,25-10-2015
1,60750,1,24-04-2016
1,13038,1,10-10-2016
1,64104,1,23-04-2017
1,60835,2,14-08-2016
1,84238,1,30-11-2015
1,11047,3,07-01-2017
1,13359,1,30-11-2015
1,87425,2,14-08-2016
1,11105,1,25-06-2017
1,12613,1,30-11-2015
1,33933,5,19-03-2017
1,12565,5,23-04-2017
1,64138,1,28-02-2016
1,33378,1,10-10-2016
1,33372,3,28-08-2016
1,64550,3,29-10-2016
1,14285,1,19-02-2017
1,87538,1,24-04-2016
1,35111,1,28-02-2016
1,78436,1,12-10-2016
2,58844,1,24-05-2017
2,39688,1,11-06-2017
2,43242,1,01-04-2016
2,39687,1,11-06-2017
2,43488,1,28-11-2015
2,43492,1,28-11-2015
2,33428,1,13-07-2016
2,32453,1,13-07-2016
2,34969,1,01-04-2016
2,47438,1,01-04-2016
2,33005,1,17-04-2016
2,45972,1,27-03-2016
2,33710,1,26-03-2016
2,32932,1,11-06-2017
2,33289,1,24-05-2017
2,64032,1,24-05-2017
2,33279,1,16-05-2016
2,43562,1,28-11-2015
2,9485,1,03-03-2016
2,64767,1,16-05-2016
2,59051,1,01-04-2016
2,64761,1,13-07-2016
2,21874,1,26-03-2016
2,21881,1,26-03-2016
2,58782,1,24-05-2017
2,33719,1,24-05-2017
2,39741,1,28-11-2015
2,32193,1,03-03-2016
2,64088,1,28-11-2015
2,33431,1,13-07-2016
2,34951,1,27-03-2016
2,64145,2,27-03-2016
2,32625,1,01-04-2016
2,59305,1,17-01-2016
2,47495,1,27-03-2016
2,32454,1,13-07-2016
2,34982,1,01-04-2016
2,33429,1,13-07-2016
2,36854,1,03-03-2016
2,34940,1,11-06-2017
2,4866,1,01-04-2016
2,47521,1,27-03-2016
2,32912,1,17-04-2016
2,89000,1,11-06-2017
2,9439,1,16-05-2016
2,90645,2,26-03-2016
2,88943,1,17-04-2016
2,60531,1,17-04-2016
2,58834,4,11-06-2017
2,4868,1,01-04-2016
2,35306,1,24-05-2017
2,39480,1,13-07-2016
2,33342,1,24-05-2017
2,33355,1,13-07-2016
2,19078,1,26-03-2016
2,35135,1,17-04-2016
2,35716,1,01-04-2016
2,2977,1,24-05-2017
2,90725,4,20-10-2016
2,90501,1,03-03-2016
2,33006,1,20-10-2016
2,17965,2,24-05-2017
2,58820,3,20-10-2016
2,36832,1,01-04-2016
2,23524,1,27-03-2016
2,35136,1,11-06-2017
2,34984,1,17-04-2016
2,32906,1,17-04-2016
2,32985,1,28-11-2015
2,88912,1,01-04-2016
2,9397,1,11-06-2017
2,87894,1,03-03-2016
2,89561,1,03-03-2016
2,89921,1,20-10-2016
2,11545,1,27-03-2016
2,60530,1,27-03-2016
2,39704,1,11-06-2017
2,33273,1,16-05-2016
2,64796,1,13-07-2016
2,36856,4,24-05-2017
2,30855,1,01-04-2016
2,64740,1,03-03-2016
2,2558,2,17-01-2016
2,1340,1,27-03-2016
2,64713,1,17-01-2016
2,79216,1,11-06-2017
2,90512,1,13-07-2016
2,9393,1,13-07-2016
2,60670,2,17-04-2016
